input,output
Are there any restrictions such as prerequisites for enrolling in Computer Organization?,"Yes, to enroll in Computer Organization, you need to have completed prerequisite courses of (ECEN 2360 and ECEN 3350) or CSCI 2400 with a minimum grade of C-."
What is Theory of Computation?,"Theory of Computation is a class that introduces the foundations of formal language theory, computability, and complexity. It explores the relationship between automata and various classes of languages. The class addresses the fundamental question of which problems can be solved by computational means and studies the complexity of solutions."
Can you describe CSCI 3434?,"CSCI 3434, also known as Theory of Computation, is a class that focuses on formal language theory, computability, and complexity. It covers topics such as automata, regular languages, context-free languages, and the theory of computation. The class aims to provide a solid foundation in understanding the limits and capabilities of computation."
How many credit hours is Theory of Computation worth?,Theory of Computation is worth 3 credit hours.
Who teaches Theory of Computation?,The instructors for Theory of Computation are not specified.
What is the academic career for Theory of Computation?,Theory of Computation is offered for undergraduate students (UGRD).
Are there any restrictions such as prerequisites for enrolling in Theory of Computation?,"Yes, Theory of Computation requires a prerequisite course of CSCI 3104 with a minimum grade of C-."
What is Introduction to Artificial Intelligence?,"Introduction to Artificial Intelligence is a course that surveys artificial intelligence techniques such as search, knowledge representation and reasoning, probabilistic inference, machine learning, and natural language. It is a 3-credit hour course."
Can you describe CSCI 3202?,"CSCI 3202, also known as Introduction to Artificial Intelligence, is a course that covers various artificial intelligence techniques including search, knowledge representation and reasoning, probabilistic inference, machine learning, and natural language. The course requires prior knowledge of Python and is open to undergraduate students. The course is taught by J. Dykes and is worth 3 credit hours."
How many credit hours is Introduction to Artificial Intelligence worth?,Introduction to Artificial Intelligence is worth 3 credit hours.
Who teaches Introduction to Artificial Intelligence?,Introduction to Artificial Intelligence is taught by J. Dykes.
What is the academic career for Introduction to Artificial Intelligence?,Introduction to Artificial Intelligence is offered as an undergraduate course.
Are there any restrictions such as prerequisites for enrolling in Introduction to Artificial Intelligence?,"Yes, there are prerequisites for enrolling in Introduction to Artificial Intelligence. The prerequisites include completion of CSCI 2270 or CSCI 2275, and either APPM 3170, CSCI 2824, ECEN 2703, or MATH 2001. Additionally, students must have completed APPM 3570, CHEN 3010, CSCI 3022, CVEN 3227, ECEN 3810, ECON 3818, MATH 3510, MATH 4510, STAT 3100, or STAT 4000 with a minimum grade of C-."
What is Fundamentals of Human Computer Interaction?,"Fundamentals of Human Computer Interaction is a course with the course code CSCI 3002. It introduces the practice and research of human-computer interaction, including its history, theories, the techniques of user-centered design, and the development of interactive technologies. The course covers various domains such as health, education, assistive technology, ethics, environment, and more, and explores the impact of computing in society. The class is offered at the undergraduate level and the credit hours may vary by section."
Can you describe CSCI 3002?,"CSCI 3002, also known as Fundamentals of Human Computer Interaction, is a course that provides an introduction to the practice and research of human-computer interaction. It covers the history, theories, and techniques of user-centered design, as well as the development of interactive technologies. The course explores various domains such as health, education, assistive technology, ethics, environment, and more to demonstrate the impact of computing in society. The class is offered at the undergraduate level."
How many credit hours is Fundamentals of Human Computer Interaction worth?,The credit hours for Fundamentals of Human Computer Interaction (CSCI 3002) may vary by section. The specific credit hours for the course can be found in the course schedule or by contacting the department offering the course.
Who teaches Fundamentals of Human Computer Interaction?,The instructors for Fundamentals of Human Computer Interaction may vary depending on the semester and section. It is recommended to consult the course schedule or contact the department offering the course for the most up-to-date information on the instructors teaching the course.
What is the academic career for Fundamentals of Human Computer Interaction?,Fundamentals of Human Computer Interaction (CSCI 3002) is offered at the undergraduate level. It is designed for undergraduate students who are interested in exploring the practice and research of human-computer interaction and its impact on various domains.
Are there any restrictions such as prerequisites for enrolling in Fundamentals of Human Computer Interaction?,"Yes, there are prerequisites for enrolling in Fundamentals of Human Computer Interaction (CSCI 3002). Students are required to have completed either CSCI 2270 or CSCI 2275 with a minimum grade of C-. Additionally, the course is restricted to students with 27-180 credits (Sophomores, Juniors, or Seniors). It is recommended to check the course catalog or consult with the department offering the course for the most accurate and up-to-date information on the restrictions and prerequisites."
What is Cognitive Science?,"Cognitive Science is an interdisciplinary field that studies the mind and its processes. It draws from various disciplines including psychology, philosophy, artificial intelligence, neuroscience, and linguistics. The goal of Cognitive Science is to understand how humans and other intelligent beings perceive, think, learn, and solve problems. It explores topics such as consciousness, language, memory, decision-making, and cognitive development."
Can you describe CSCI 3702?,"CSCI 3702, also known as Cognitive Science, is a course that introduces students to the field of cognitive science. The course covers a range of topics including the linguistic relativity hypothesis, consciousness, categorization, linguistic rules, the mind-body problem, nature versus nurture, conceptual structure and metaphor, logic/problem solving, and judgment. It emphasizes the nature, implications, and limitations of the computational model of mind. The course is recommended for students who have completed two of the following prerequisites: CSCI 1300, CSCI 2275, LING 2000, PHIL 2440, or PSYC 2145. It is also equivalent to LING 3005, PHIL 3310, PSYC 3005, SLHS 3003, and CSPB 3702."
How many credit hours is Cognitive Science worth?,Cognitive Science is worth 3 credit hours.
Who teaches Cognitive Science?,Cognitive Science is taught by Professor R. Carston.
What is the academic career for Cognitive Science?,Cognitive Science is offered as an undergraduate course (UGRD).
Are there any restrictions such as prerequisites for enrolling in Cognitive Science?,"Yes, there are recommended prerequisites for enrolling in Cognitive Science. Students are encouraged to have completed two of the following courses: CSCI 1300, CSCI 2275, LING 2000, PHIL 2440, or PSYC 2145. These courses provide foundational knowledge that will enhance understanding and success in Cognitive Science."
What is Computer Science 2: Data Structures?,"Computer Science 2: Data Structures is a course that studies data abstractions such as stacks, queues, lists, trees, graphs, heaps, hash tables, and priority queues, along with their representation techniques using linking and arrays. The course also introduces concepts used in algorithm design and analysis, including criteria for selecting appropriate data structures for different applications. Knowledge of C++ is highly recommended for this course. It is a course offered at the undergraduate level and is also known as CSPB 2270."
Can you describe CSCI 2270?,"CSCI 2270, also known as Computer Science 2: Data Structures, is a course that focuses on the study of various data abstractions and their representation techniques. The course covers topics such as stacks, queues, lists, trees, graphs, heaps, hash tables, and priority queues. It also introduces concepts used in algorithm design and analysis, helping students understand how to select appropriate data structures for different applications. C++ knowledge is highly recommended for this course. The instructors for this course are C. Godley and M. Zagrodzki. It is a course offered at the undergraduate level."
How many credit hours is Computer Science 2: Data Structures worth?,The number of credit hours for Computer Science 2: Data Structures varies by section. It is best to refer to the course registration materials or check with the department offering the course for the specific credit hour information for the current semester.
Who teaches Computer Science 2: Data Structures?,Computer Science 2: Data Structures is taught by C. Godley and M. Zagrodzki. They are the instructors for this course. They will provide the necessary guidance and instruction throughout the semester.
What is the academic career for Computer Science 2: Data Structures?,The academic career for Computer Science 2: Data Structures is undergraduate (UGRD). This means that the course is offered at the undergraduate level and is designed for students pursuing their bachelor's degree.
Are there any restrictions such as prerequisites for enrolling in Computer Science 2: Data Structures?,"Yes, there are prerequisites and corequisites for enrolling in Computer Science 2: Data Structures. The prerequisite course options include CSCI 1300, CSCI 1320, ECEN 1310 (minimum grade C-), or ASEN 1320 (minimum grade B-). Additionally, there is a prerequisite or corequisite requirement for a math course, which can be fulfilled by taking MATH 1300, MATH 1310, APPM 1345, or APPM 1350 (minimum grade C-). These prerequisites and corequisites must be completed before or concurrently with Computer Science 2: Data Structures in order to enroll in the course."
What is Numerical Computation?,"Numerical Computation is a course that covers the development, computer implementation, and analysis of numerical methods for applied mathematical problems. It explores topics such as floating point arithmetic, numerical solution of linear systems of equations, root finding, numerical interpolation, differentiation, and integration."
Can you describe CSCI 3656?,"CSCI 3656, also known as Numerical Computation, is a course that focuses on the development, computer implementation, and analysis of numerical methods for solving applied mathematical problems. It covers topics such as floating point arithmetic, solving linear systems of equations, root finding, interpolation, differentiation, and integration."
How many credit hours is Numerical Computation worth?,Numerical Computation is worth 3 credit hours.
Who teaches Numerical Computation?,Numerical Computation is taught by F. Mannan.
What is the academic career for Numerical Computation?,Numerical Computation is classified under the UGRD (Undergraduate) academic career.
Are there any restrictions such as prerequisites for enrolling in Numerical Computation?,Restrictions such as prerequisites for enrolling in Numerical Computation may vary by section. It is best to check the specific requirements for the desired section.
What is Fundamentals of Computer Security?,"Fundamentals of Computer Security is a course with the class code CSCI 4133. It is designed to provide a practical understanding of computer security by exploring various modern security attacks and defenses through hands-on programming projects. The course covers topics such as applied cryptography, web security, network security, application security, and current events and trends in the field of computer security."
Can you describe CSCI 4133?,"CSCI 4133 is a course titled Fundamentals of Computer Security. The course focuses on teaching students how to think like an attacker by engaging in hands-on programming projects. It covers topics such as applied cryptography, web security, network security, application security, and current events and trends in computer security. The course is worth 3 credit hours and is open to undergraduate students."
How many credit hours is Fundamentals of Computer Security worth?,Fundamentals of Computer Security is worth 3 credit hours.
Who teaches Fundamentals of Computer Security?,The instructor for Fundamentals of Computer Security is Y. Chen.
What is the academic career for Fundamentals of Computer Security?,Fundamentals of Computer Security is classified as an undergraduate course.
Are there any restrictions such as prerequisites for enrolling in Fundamentals of Computer Security?,"Yes, there are prerequisites for enrolling in Fundamentals of Computer Security. Students are required to have completed CSCI 2270 or CSCI 2275, and CSCI 2400 or ECEN 2360 or ECEN 3350, all with a minimum grade of C-."
What is Introduction to Robotics?,"Introduction to Robotics is a class that introduces students to fundamental concepts in autonomous robotics. It covers topics such as mechanisms, locomotion, kinematics, control, perception, and planning. The class consists of lectures and lab sessions aimed at developing a complete navigation stack on a miniature mobile robotic platform. It is also offered under the course codes ECEN 3303 and CSPB 3302."
Can you describe CSCI 3302?,"CSCI 3302 is a course titled Introduction to Robotics. It provides students with a comprehensive understanding of the fundamental concepts in autonomous robotics. The course explores various topics, including mechanisms, locomotion, kinematics, control, perception, and planning. The curriculum includes lectures and lab sessions dedicated to building a complete navigation stack on a miniature mobile robotic platform. This course is also known by the course codes ECEN 3303 and CSPB 3302."
How many credit hours is Introduction to Robotics worth?,The number of credit hours for Introduction to Robotics varies depending on the section. It is not a fixed value and may differ based on the specific offering of the course. It is recommended to refer to the course catalog or contact the academic department to determine the credit hours for a particular section of Introduction to Robotics.
Who teaches Introduction to Robotics?,Introduction to Robotics is taught by Professor T. Hainsworth.
What is the academic career for Introduction to Robotics?,Introduction to Robotics is offered as an undergraduate-level course. It is part of the UGRD academic career.
Are there any restrictions such as prerequisites for enrolling in Introduction to Robotics?,The specific restrictions and prerequisites for enrolling in Introduction to Robotics may vary depending on the section. It is recommended to check the course listing or consult the academic department offering the course to determine the exact requirements for enrollment in a particular section of Introduction to Robotics.
What is Principles of Programming Languages?,"Principles of Programming Languages is a course that studies the principles governing the design and analysis of programming languages and their underlying execution models. It explores various concepts such as values, scoping, recursion, higher-order functions, type systems, control structures, and objects. The course also introduces formal semantics as a framework for understanding programming features. It covers advanced programming concepts like functional programming, immutable values and structures, inductive types, functors, continuation-passing, and object-oriented programming in a functional programming language like Scala. Same as CSPB 3155."
Can you describe CSCI 3155?,"CSCI 3155, also known as Principles of Programming Languages, is a course that focuses on the principles governing programming languages and their underlying execution models. The course covers various topics such as values, scoping, recursion, higher-order functions, type systems, control structures, and objects. It also introduces formal semantics as a framework for understanding programming features. In addition, the course explores advanced programming concepts like functional programming, immutable values and structures, inductive types, functors, continuation-passing, and object-oriented programming using inheritance, generics, and covariance/contravariance in a functional programming language like Scala."
How many credit hours is Principles of Programming Languages worth?,The number of credit hours for Principles of Programming Languages can vary depending on the specific section of the course. The exact number of credit hours should be checked with the academic department or course registration information.
Who teaches Principles of Programming Languages?,Principles of Programming Languages is taught by B. Chang.
What is the academic career for Principles of Programming Languages?,Principles of Programming Languages is categorized as an undergraduate course (UGRD).
Are there any restrictions such as prerequisites for enrolling in Principles of Programming Languages?,"Yes, there are specific prerequisites required for enrolling in Principles of Programming Languages. The course requires a minimum grade of C- in the following prerequisite courses: (CSCI 2270 or CSCI 2275) and (CSCI 2400 or ECEN 2360 or ECEN 3350) and (CSCI 2824 or ECEN 2703 or APPM 3170 or MATH 2001)."
What is Design and Analysis of Operating Systems?,"Design and Analysis of Operating Systems is a course that analyzes the software that extends hardware to provide a computing environment. It covers topics such as the role of linkers, file systems, resource sharing, security, and networking. The course also studies the history of operating system organization and design, and their influence on security, functionality, and reliability. It is offered as CSCI 3753 or CSPB 3753."
Can you describe CSCI 3753?,"CSCI 3753, also known as Design and Analysis of Operating Systems, is a course that focuses on analyzing the software that complements hardware to create a computing environment. The course covers various topics including linkers, file systems, resource sharing, security, and networking. It also explores the history of operating system organization and design, and how they impact security, functionality, and reliability. CSCI 3753 is open to undergraduate students and is equivalent to CSPB 3753."
How many credit hours is Design and Analysis of Operating Systems worth?,The number of credit hours for Design and Analysis of Operating Systems may vary depending on the section. Please refer to the specific section of the course for the exact number of credit hours it offers.
Who teaches Design and Analysis of Operating Systems?,The instructors for Design and Analysis of Operating Systems vary each semester. You would need to refer to the course schedule or contact the department offering the course to find out the current instructors for the upcoming semester.
What is the academic career for Design and Analysis of Operating Systems?,Design and Analysis of Operating Systems is offered as an undergraduate (UGRD) course.
Are there any restrictions such as prerequisites for enrolling in Design and Analysis of Operating Systems?,"Yes, there are prerequisites for enrolling in Design and Analysis of Operating Systems. You must have completed either CSCI 2270 or CSCI 2275, as well as either CSCI 2400, ECEN 2360, or ECEN 3350 with a minimum grade of C-. These prerequisites must be fulfilled in order to enroll in Design and Analysis of Operating Systems."
