Class Code,Class Title,Class Description,Credit Hours,Class Instructors,Academic Career
AIRR 3010,Leading People and Effective Communication 1,This course is designed to build on the leadership fundamentals taught in the AS200 level. The cadets will have the opportunity to utilize their skills as they begin a broader leadership role in the detachment. The goal is for cadets and students to have a more in-depth understanding of how to effectively lead people and provide them with the tools to use throughout their detachment leadership roles.,3,M. Riester,UGRD
AIRR 2010,Team and Leadership Fundamentals 1,"This course is designed to provide a fundamental understanding of both leadership and team building. This course teaches students that there are many layers to leadership, including aspects that are not always obvious. Such things include listening, understanding themselves, being a good follower, and problem solving efficiently.",1,N. Somers,UGRD
ANTH 1170,Exploring Culture and Gender through Film,"Explores the concepts of culture and gender from an anthropological perspective, using films and other media, as well as written texts. By analyzing media about other ways of life, students will learn the basic concepts of cultural anthropology and be able to apply them to any society. In addition, students will learn to think critically about documentary and ethnographic media. Degree credit not granted for this course and <a href=""/search/?p=CMDP%202820"" data-action=""result-detail"" data-group=""code:CMDP 2820"" >CMDP 2820</a>.",3,"C. Hammons, K. Fischer",UGRD
ACCT 4900,Independent Study,Requires prior consent of dean and instructor under whose direction study is taken. Intended only for exceptionally well-qualified business seniors. Departmental form required.,3,"S. Zechman, J. Rogers",UGRD
ANTH 2010,Introduction to Biological Anthropology 1,"Detailed consideration of human biology, the place of humans in the animal kingdom, primate ecology and fossil evidence for human evolution. Required for ANTH majors.",3,"S. Leigh, Sponheimer/Zneimer",UGRD
ANTH 2030,Laboratory in Biological Anthropology 1,"Lab in human osteology and musculoskeletal system emphasizing comparative primate morphology, adaptation, and the fossil record documenting the natural history of primates. Recommended corequisite: <a href=""/search/?p=ANTH%202010"" data-action=""result-detail"" data-group=""code:ANTH 2010"" >ANTH 2010</a>. Meets the MAPS requirement for natural science: lab, when taken with <a href=""/search/?p=ANTH%202010"" data-action=""result-detail"" data-group=""code:ANTH 2010"" >ANTH 2010</a>.",1,,UGRD
ANTH 1190,Origins of Ancient Civilizations,"Examines origins of the world's first civilizations in Mesopotamia, Egypt, the Indus Valley, Mesoamerica, and the Andes. Covers archaeology of ancient cities, trade, economy, politics, warfare, religion, and ideology. Seeks insights into general processes of cultural evolution.",Varies by section,"A. Joyce, E. Jurado",UGRD
ANTH 1155,Varies by section,"Examines the geography, kinship, politics and religious values of various cultures globally in historical and contemporary context through an anthropological perspective. Check with department for semester offerings. May be repeated up to 9 total credit hours.",3,"C. Conzelman, S. DeWitte, T. Hanson, K. Drybread",UGRD
ACCT 5120,Business Analytics,"Teaches cutting-edge tools and approaches to the analysis of data, including &quot;big data&quot; for effective decision-making. Creates data connoisseurs through hands-on exposure to exploratory and predictive analytics. Application areas covered include Web Marketing, the Internet of Things, Biometric Monitoring, as well as data integration and analysis for online marketing, human resources and operations.",3,K. Larsen,GRAD
ACCT 3320,Cost Management,"Provides cost analysis for the support of management decision making. Analyzes activities, cost behavior, role of accounting in planning, financial modeling,and managerial uses of cost data.",3,C. Wang,UGRD
ACCT 4540,Accounting Information Systems,"Considers the interaction of accountants with information systems and the role of accounting information systems in business processes. Focuses on the tools used by accountants and provides an understanding of accounting as an information system.  Same as <a href=""/search/?p=ACCT%205540"" data-action=""result-detail"" data-group=""code:ACCT 5540"" >ACCT 5540</a>.",3,R. Parker,UGRD
ACCT 6350,Current Issues in Professional Accounting--Accounting Ethics,"Examines the nature of accounting theory and practice from perspectives of economics, law, globalization, accounting, ethics, and moral reasoning. Also explores issues including implications of institutional factors, such as Sarbanes-Oxley, SEC, FASB, IFRS, and capital markets. Counts as senior seminar for Concurrent degree students.",3,J. Contreras,GRAD
ACCT 4240,Advanced Financial Accounting,"Examines advanced financial accounting theory and practice, emphasizing U.S. and international accounting for business combinations, consolidated financial statements, and accounting for partnerships, not-for-profits and governments. Same as <a href=""/search/?p=ACCT%205240"" data-action=""result-detail"" data-group=""code:ACCT 5240"" >ACCT 5240</a>.",3,D. Probert,UGRD
AIRR 1010,Heritage and Values I,"This course provides an introduction to the Air &amp; Space Forces, encourages students to pursue an AF career or seek additional information to be better informed about the role of the USAF.  The course allows students to examine general aspects of the Department of the Air Force, AF Leadership, Air Force benefits, and opportunities for AF officers.  The course also lays the foundation for becoming an Airman by outlining our heritage and values.",1,H. Hajivandi,UGRD
ACCT 4620,Auditing and Assurance Services,"Emphasizes the value of assurance services, including the market for financial-statement audits, and the audit decision process, from obtaining a client through planning and testing, to issuance of the audit report. Focuses on making judgments and decisions under conditions of uncertainty and continually evaluating the substance of business transactions over their form. Same as <a href=""/search/?p=ACCT%205620"" data-action=""result-detail"" data-group=""code:ACCT 5620"" >ACCT 5620</a>.",3,C. Maxwell,UGRD
ACCT 3440,Income Taxation of Individuals,"Provides an overview of individual US federal income tax law.  Topics covered include tax formula and tax determination, filing status, gross income and exclusions, deductions, tax credits, and payment procedures.",3,"N. Lazzeri, S. Morley",UGRD
ACCT 6940,Master's Candidate for Degree,"Registration intended for students preparing for a thesis defense, final examination, culminating activity, or completion of degree. Departmental form required.",6,,GRAD
ACCT 6700,Income Taxation,"Emphasizes the fundamentals of the federal income tax system and examines its impact on the individual. Same as <a href=""/search/?p=LAWS%206007"" data-action=""result-detail"" data-group=""code:LAWS 6007"" >LAWS 6007</a>.",4,S. Speck,GRAD
ACCT 6430,Taxation of Partnerships,"Studies federal income taxation of pass-through entities such as those used by most small businesses in the U.S. Includes creation, operation, distributions, sale of interests and liquidation. Degree credit not granted for this course and <a href=""/search/?p=LAWS%206167"" data-action=""result-detail"" data-group=""code:LAWS 6167"" >LAWS 6167</a>.",3,S. Speck,GRAD
AHUM 1825,Inclusive Interdisciplinary Data Science for All,"Team-taught module-based course merges data science and the humanities without requiring prior experience in either one. Students will synthesize qualitative and quantitative approaches to urgent research questions and practice putting data to work in the world. They will learn to use data analysis, statistics, and basic programming skills to answer questions of human importance, while applying the central humanities skills of source critique, attention to human motives, contextualization, and argument.",4,D. Glimp,UGRD
ACCT 6950,Master's Thesis,,4,,GRAD
ACCT 5240,Advanced Financial Accounting,"Examines advanced financial accounting theory and practice, emphasizing U.S. and international accounting for business combinations, consolidated financial statements, and accounting for partnerships, not-for-profits and governments. Same as <a href=""/search/?p=ACCT%204240"" data-action=""result-detail"" data-group=""code:ACCT 4240"" >ACCT 4240</a>.",3,D. Probert,GRAD
ACCT 6420,Research and Writing in Income Taxation,Provides a working knowledge of online tax research methodology.  Examines the sources of tax authority in researching a tax question.  Develops legal writing skills using the CREAC form of writing.,3,S. Morley,GRAD
ACCT 7830,Doctoral Seminar: Accounting Research,Designed to assist the doctoral student in integrating courses and fields of study in order to be able to apply knowledge and skills to problems in accounting. Special attention given to the development of thesis topics.,3,B. Schonberger,GRAD
ACCT 5540,Accounting Information Systems,"Considers the interaction of accountants with information systems and the role of accounting information systems in business processes. Focuses on the tools used by accountants and provides an understanding of accounting as an information system. Same as <a href=""/search/?p=ACCT%204540"" data-action=""result-detail"" data-group=""code:ACCT 4540"" >ACCT 4540</a>.",3,R. Parker,GRAD
ACCT 5620,Auditing and Assurance Services,"Emphasizes the value of assurance services, including the market for financial-statement audits, and the audit decision process, from obtaining a client through planning and testing, to issuance of the audit report. Focuses on making judgments and decisions under conditions of uncertainty and continually evaluating the substance of business transactions over their form. Same as <a href=""/search/?p=ACCT%204620"" data-action=""result-detail"" data-group=""code:ACCT 4620"" >ACCT 4620</a>.",3,C. Maxwell,GRAD
ACCT 5450,Income Taxation of Business Entities,"Provides an overview of the taxation of business entities.  Examines the tax consequences of forming and operating regular corporations, partnerships, limited liability companies, and S corporations.",3,S. Morley,GRAD
ACCT 6000,Academic Internship in Accounting,"Offers students the opportunity to gain professional work experience in an accounting or tax position while still in school. Provides academically relevant work experience that complements students' studies and enhances their career potential. Includes lectures and a course paper. Students may not preregister for  this course, and they must contact the Director of the concurrent degree program in accounting for approval. Instructor consent required.",3,J. Neil,GRAD
ACCT 6620,Advanced Auditing: Business Risk and Decision Analysis,"Explores contemporary issues, historical developments, and selected topics pertinent to business assurance services by independent accountants. Emphasizes improving both the decision behavior of decision makers and the quality of information, or its context, for decision makers.",3,C. Maxwell,GRAD
ACCT 4850,Senior Seminar - Accounting Ethics,"Examines the nature of accounting theory and practice from perspectives of economics, law, globalization, accounting, ethics, and moral reasoning. Explores issues including implications of institutional factors, such as Sarbanes-Oxley, SEC, FASB, IFRS, and capital markets.",3,J. Contreras,UGRD
ANTH 3000,Primate Behavior,"Surveys naturalistic primate behavior. Emphasizes social behavior, behavioral ecology, and evolution as they lead to an understanding of human behavior.",3,"M. Sauther, G. Van Der Heide",UGRD
ANTH 4130,Advanced Osteology,"Detailed study of the human skeleton with special attention to health and demographic conditions in prehistoric cultures and the evaluation of physical characteristics and genetic relationships of prehistoric populations. Recommended prerequisites: <a href=""/search/?p=ANTH%202010"" data-action=""result-detail"" data-group=""code:ANTH 2010"" >ANTH 2010</a> and <a href=""/search/?p=ANTH%202020"" data-action=""result-detail"" data-group=""code:ANTH 2020"" >ANTH 2020</a> and <a href=""/search/?p=ANTH%204000"" data-action=""result-detail"" data-group=""code:ANTH 4000"" >ANTH 4000</a> and students with 57-<a href=""/search/?p=ANTH%20180"" data-action=""result-detail"" data-group=""code:ANTH 180""  class=""notoffered"">180</a> credits (Juniors or Seniors). Same as <a href=""/search/?p=ANTH%205130"" data-action=""result-detail"" data-group=""code:ANTH 5130"" >ANTH 5130</a>.",3,L. Hosek,UGRD
ANTH 4220,From Olmec to Aztec: The Archaeology of Mexico,"Examines the archaeology of Mexico from the initial peopling of the Americas to the Spanish conquest of the Aztec empire. Studies origins of complex societies; ancient Mexican cities, states and empires; religion and politics; trade and interaction; ecology and economy; and social organization. Recommended prerequisite: <a href=""/search/?p=ANTH%202200"" data-action=""result-detail"" data-group=""code:ANTH 2200"" >ANTH 2200</a>. Same as <a href=""/search/?p=ANTH%205220"" data-action=""result-detail"" data-group=""code:ANTH 5220""  class=""notoffered"">ANTH 5220</a>.",3,,UGRD
ANTH 3009,Varies by section,"Considers issues of vital importance to humans, both now and in ancient times. Topics such as food, death, sex, family, literacy, or power are explored to consider how ancient societal norms and attitudes evolved and how they relate to modern culture. Draws on material and literary evidence to develop an understanding of the complexities of ancient life. May be repeated up to 6 total credit hours. Same as <a href=""/search/?p=CLAS%203009"" data-action=""result-detail"" data-group=""code:CLAS 3009"" >CLAS 3009</a>.",3,"T. Rupp, D. Nakassis",UGRD
ANTH 4020,Varies by section,"Special topics in cultural and physical anthropology, as well as archaeology. Check with the department for semester offerings. May be repeated up to 9 total credit hours. Same as <a href=""/search/?p=ANTH%205020"" data-action=""result-detail"" data-group=""code:ANTH 5020"" >ANTH 5020</a>.",3,"C. Jones, C. Hammons, S. Zneimer, B. Duhe",UGRD
ANTH 4580,The Holocaust: An Anthropological Perspective,"Focuses on the Holocaust during the Third Reich, which involved the murder of millions of people, including six million Jews. Reviews the Holocaust's history, dynamics and consequences as well as other genocides of the 20th century, using an anthropological approach. Same as <a href=""/search/?p=JWST%204580"" data-action=""result-detail"" data-group=""code:JWST 4580"" >JWST 4580</a>.",3,P. Shankman,UGRD
ANTH 4120,Advanced Biological Anthropology: Evolutionary Medicine,"Selected topics in physical anthropology emphasizing faculty specialties. Topics may include population genetics and its application to understanding modern human diversity, human population biology, and primate ecology and evolution. Check with department for semester offerings. May be repeated up to 6 total credit hours.  Same as <a href=""/search/?p=ANTH%205120"" data-action=""result-detail"" data-group=""code:ANTH 5120""  class=""notoffered"">ANTH 5120</a>. Recommended prerequisite: <a href=""/search/?p=ANTH%202010"" data-action=""result-detail"" data-group=""code:ANTH 2010"" >ANTH 2010</a> or <a href=""/search/?p=ANTH%202020"" data-action=""result-detail"" data-group=""code:ANTH 2020"" >ANTH 2020</a> or <a href=""/search/?p=EBIO%201210"" data-action=""result-detail"" data-group=""code:EBIO 1210"" >EBIO 1210</a> or <a href=""/search/?p=EBIO%201220"" data-action=""result-detail"" data-group=""code:EBIO 1220"" >EBIO 1220</a>.",3,R. Bernstein,UGRD
ANTH 2100,Introduction to Cultural Anthropology,Covers current theories in cultural anthropology and discusses the nature of field work. Explores major schools of thought and ethnographic fieldwork in a range of cultures studied by anthropologists. Required for Anthropology majors.,Varies by section,"A. Cool, K. Darcy",UGRD
ANTH 4270,Plains Archaeology,"Archaeological evidence for Native American ways of life on the North American Great Plains from the initial peopling of the region into the 19th century.  Recommended prerequisite: <a href=""/search/?p=ANTH%202200"" data-action=""result-detail"" data-group=""code:ANTH 2200"" >ANTH 2200</a>. Same as <a href=""/search/?p=ANTH%205270"" data-action=""result-detail"" data-group=""code:ANTH 5270"" >ANTH 5270</a>.",3,D. Bamforth,UGRD
ANTH 4000,Quantitative Methods in Anthropology,"Surveys ways of deriving meaning from anthropological data by numerical means, including but not confined to basic statistical procedures. Recommended prerequisites: <a href=""/search/?p=ANTH%202010"" data-action=""result-detail"" data-group=""code:ANTH 2010"" >ANTH 2010</a> and <a href=""/search/?p=ANTH%202020"" data-action=""result-detail"" data-group=""code:ANTH 2020"" >ANTH 2020</a>. Same as <a href=""/search/?p=ANTH%205000"" data-action=""result-detail"" data-group=""code:ANTH 5000"" >ANTH 5000</a>.",3,S. Ortman,UGRD
ANTH 4465,The Archaeology of Inequality,"Examines the theoretical and archaeological literature to understand how inequality develops, how it is maintained over time, and how it is negated. Presents an understanding of, and critically evaluates, the most prominent paradigms for understanding socially unequal relationships, and considers the vital role archaeology plays in understanding inequality.",3,S. Kurnick,UGRD
ANTH 4710,Departmental Honors in Anthropology 1,"Course work built around theme of research design as a means of integrating previous training in the field of anthropology as well as providing an opportunity to perform creative scientific investigations. Prepares students to write an honors thesis in <a href=""/search/?p=ANTH%204720"" data-action=""result-detail"" data-group=""code:ANTH 4720""  class=""notoffered"">ANTH 4720</a>. Required of students doing Anthropology departmental honors.",3,S. Leigh,UGRD
ANTH 5000,Quantitative Methods in Anthropology,"Surveys ways of deriving meaning from anthropological data by numerical means, including but not confined to basic statistical procedures. Same as <a href=""/search/?p=ANTH%204000"" data-action=""result-detail"" data-group=""code:ANTH 4000"" >ANTH 4000</a>.",3,S. Ortman,GRAD
ANTH 5020,Explorations in Anthropology: Class and Consumption,"Special topics in cultural and physical anthropology, as well as archaeology. Check with the department for semester offerings. May be repeated up to 9 total credit hours. Same as <a href=""/search/?p=ANTH%204020"" data-action=""result-detail"" data-group=""code:ANTH 4020"" >ANTH 4020</a>.",3,C. Jones,GRAD
ANTH 5130,Advanced Osteology,"Detailed study of the human skeleton with special attention to health and demographic conditions in prehistoric cultures and the evaluation of physical characteristics and genetic relationships of prehistoric populations. Same as <a href=""/search/?p=ANTH%204130"" data-action=""result-detail"" data-group=""code:ANTH 4130"" >ANTH 4130</a>.",3,L. Hosek,GRAD
ANTH 5270,Plains Archaeology,"Archaeological evidence for Native American ways of life on the North American Great Plains from the initial peopling of the region into the 19th century. Same as <a href=""/search/?p=ANTH%204270"" data-action=""result-detail"" data-group=""code:ANTH 4270"" >ANTH 4270</a>.",3,D. Bamforth,GRAD
APPM 1235,Pre-Calculus for Engineers,"Prepares students for the challenging content and pace of the calculus sequence required for all engineering majors. Covers algebra, trigonometry and selected topics in analytical geometry. Prepares students for the calculus courses offered for engineering students. Requires students to engage in rigorous work sessions as they review topics that they must be comfortable with to pursue engineering course work. Structured to accustom students to the pace and culture of learning encountered in engineering math courses.  For more information about the math placement referred to in the &quot;Enrollment Requirements&quot;, please contact your academic advisor. Degree credit not granted for this course and <a href=""/search/?p=MATH%201021"" data-action=""result-detail"" data-group=""code:MATH 1021""  class=""notoffered"">MATH 1021</a> or <a href=""/search/?p=MATH%201150"" data-action=""result-detail"" data-group=""code:MATH 1150"" >MATH 1150</a>. Formerly <a href=""/search/?p=GEEN%201235"" data-action=""result-detail"" data-group=""code:GEEN 1235""  class=""notoffered"">GEEN 1235</a>.",Varies by section,,UGRD
APPM 1236,Precalculus Work Group,"Develops and enhances problem solving skills for students enrolled in <a href=""/search/?p=APPM%201235"" data-action=""result-detail"" data-group=""code:APPM 1235"" >APPM 1235</a>. Course is conducted in a collaborative learning environment with students working in groups under the guide of a facilitator.",1,,UGRD
ANTH 7020,Seminar: Biological Anthropology,In-depth discussion of selected topics in physical anthropology with emphasis on recent research. May be repeated up to 6 total credit hours.,3,L. Hosek,GRAD
ANTH 1140,Exploring a Non-Western Culture: The Maya,"Explores the culture of the Maya of Central America, emphasizing their material adaptations, social organizations, ideals and values, and artistic achievements in the past and the present.",Varies by section,"S. Kurnick, J. Brzezinski",UGRD
ANTH 7600,Human Ecology: Cultural Aspects,"Reviews and critically examines the major theoretical perspectives for understanding the relationship between human social behavior and the environment developed in the social sciences, especially anthropology, over the last 100 years. Formerly <a href=""/search/?p=ANTH%205600"" data-action=""result-detail"" data-group=""code:ANTH 5600""  class=""notoffered"">ANTH 5600</a>.",3,J. Jacka,GRAD
APPM 1340,"Calculus 1 with Algebra, Part A","Studies selected topics in analytical geometry and calculus: rates of change of functions, limits, derivatives and their applications. This course and <a href=""/search/?p=APPM%201345"" data-action=""result-detail"" data-group=""code:APPM 1345""  class=""notoffered"">APPM 1345</a> together are equivalent to <a href=""/search/?p=APPM%201350"" data-action=""result-detail"" data-group=""code:APPM 1350"" >APPM 1350</a>. The sequence of this course and <a href=""/search/?p=APPM%201345"" data-action=""result-detail"" data-group=""code:APPM 1345""  class=""notoffered"">APPM 1345</a> is specifically designed for students whose manipulative skills in the techniques of high school algebra and precalculus may be inadequate for <a href=""/search/?p=APPM%201350"" data-action=""result-detail"" data-group=""code:APPM 1350"" >APPM 1350</a>.  For more information about the math placement referred to in the &quot;Enrollment Requirements&quot;, please contact your academic advisor.",Varies by section,,UGRD
ANTH 7000,Seminar: Current Research Topics in Cultural Anthropology,Discusses current research and theoretical issues in the field of cultural anthropology. May be repeated up to 18 total credit hours.,3,A. Cool,GRAD
APPM 1360,Calculus 2 for Engineers,"Continuation of <a href=""/search/?p=APPM%201350"" data-action=""result-detail"" data-group=""code:APPM 1350"" >APPM 1350</a>. Focuses on applications of the definite integral, methods of integration, improper integrals, Taylor's theorem, and infinite series. Degree credit not granted for this course and <a href=""/search/?p=MATH%202300"" data-action=""result-detail"" data-group=""code:MATH 2300"" >MATH 2300</a>.",Varies by section,,UGRD
ANTH 7030,Seminar: Archaeology,Intensive examination of selected theoretical or methodological topics in archaeology. Topics vary with current research emphasis. May be repeated up to 6 total credit hours.,3,G. Gutierrez,GRAD
ANTH 6320,Linguistic Anthropology,"Serves as an advanced introduction to the empirical and theoretical foundations of contemporary linguistic anthropology, with special emphasis on the ways in which culture and society emerge semiotically through language and discourse. Same as <a href=""/search/?p=LING%206320"" data-action=""result-detail"" data-group=""code:LING 6320"" >LING 6320</a>.",3,K. Hall,GRAD
APPM 1351,Calculus 1 Work Group,"Provides problem-solving assistance to students enrolled in <a href=""/search/?p=APPM%201350"" data-action=""result-detail"" data-group=""code:APPM 1350"" >APPM 1350</a>. Student groups work in collaborative learning environment. Student participation is essential.",1,,UGRD
ANTH 5345,Archaeological Theory,"Provides an advanced introduction to the history of archaeological theory from the late 19th century to the present. Topics include culture history, cultural evolution, systems ecology, behavioral archaeology, analogy and middle range theory, collective action, ecology, agency, practice, gender, identity, landscape, epistemology, materiality and memory.",3,A. Joyce,GRAD
ANTH 1125,Varies by section,"Examines the geography, kinship, politics and religious values of various cultures in the United States in historical and contemporary context through an anthropological perspective. Check with department for semester offerings. May be repeated up to 9 total credit hours.",Varies by section,E. Jones,UGRD
APPM 1350,Calculus 1 for Engineers,"Topics in analytical geometry and calculus including limits, rates of change of functions, derivatives and integrals of algebraic and transcendental functions, applications of differentiations and integration. Students who have already earned college credit for calculus 1 are eligible to enroll in this course if they want to solidify their knowledge base in calculus 1. For more information about the math placement referred to in the &quot;Enrollment Requirements&quot;, contact your academic advisor. Degree credit not granted for this course and <a href=""/search/?p=APPM%201345"" data-action=""result-detail"" data-group=""code:APPM 1345""  class=""notoffered"">APPM 1345</a> or <a href=""/search/?p=ECON%201088"" data-action=""result-detail"" data-group=""code:ECON 1088"" >ECON 1088</a> or <a href=""/search/?p=MATH%201081"" data-action=""result-detail"" data-group=""code:MATH 1081""  class=""notoffered"">MATH 1081</a> or <a href=""/search/?p=MATH%201300"" data-action=""result-detail"" data-group=""code:MATH 1300"" >MATH 1300</a> or <a href=""/search/?p=MATH%201310"" data-action=""result-detail"" data-group=""code:MATH 1310"" >MATH 1310</a> or <a href=""/search/?p=MATH%201330"" data-action=""result-detail"" data-group=""code:MATH 1330""  class=""notoffered"">MATH 1330</a>.",Varies by section,,UGRD
APPM 2340,Calculus 3 for Statistics and Data Science,"Covers vectors and vector analysis, partial derivatives and the multivariable Taylor theorem, and multiple integrals. Introduces matrices and statistical applications.",Varies by section,S. Chang,UGRD
APPM 1650,Python for Math and Data Science Applications,"Uses Python to teach the fundamentals of computer programming with an emphasis on mathematical and statistical applications. Topics will include data types, data structures, iteration, visualization, and simulations. Techniques covered will be applicable to many scientific and technical fields. No prior programming experience is required. Formerly offered as a special topics course.",Varies by section,S. Chang,UGRD
APPM 2460,Differential Equations Computer Lab,Selected topics in differential equations and linear algebra with a focus on symbolic computation using MATLAB.,1,,UGRD
APPM 1361,Calculus 2 Work Group,"Provides problem solving assistance for students enrolled in <a href=""/search/?p=APPM%201360"" data-action=""result-detail"" data-group=""code:APPM 1360"" >APPM 1360</a>. Conducted in a collaborative learning environment. Student work groups solve calculus problems with assistance of facilitator.",1,,UGRD
APPM 3310,Matrix Methods and Applications,"Introduces linear algebra and matrices with an emphasis on applications, including methods to solve systems of linear algebraic and linear ordinary differential equations. Discusses vector space concepts, decomposition theorems, and eigenvalue problems. Degree credit not granted for this course and <a href=""/search/?p=MATH%202130"" data-action=""result-detail"" data-group=""code:MATH 2130"" >MATH 2130</a> and <a href=""/search/?p=MATH%202135"" data-action=""result-detail"" data-group=""code:MATH 2135"" >MATH 2135</a>.",3,,UGRD
APPM 3010,Chaos in Dynamical Systems,"Introduces undergraduate students to chaotic dynamical systems. Topics include smooth and discrete dynamical systems, bifurcation theory, chaotic attractors, fractals, Lyapunov exponents, synchronization and networks of dynamical systems. Applications to engineering, biology and physics will be discussed.",3,,UGRD
APPM 2720,Open Topics in Lower Division Applied Mathematics,Provides a vehicle for the development and presentation of new topics that are accessible to lower division Applied Mathematics students. These topics have the potential to be incorporated into the core APPM curriculum. May be repeated up to 6 total credit hours.,1,,UGRD
APPM 3170,Discrete Applied Mathematics,"Introduces students to ideas and techniques from discrete mathematics that are widely used in science and engineering. Mathematical definitions and proofs are emphasized. Topics include formal logic notation, proof methods; set theory, relations; induction, well-ordering; algorithms, growth of functions and complexity; integer congruences; basic and advanced counting techniques, recurrences and elementary graph theory. Other selected topics may also be covered.",3,,UGRD
APPM 3570,Applied Probability,"Studies axioms, counting formulas, conditional probability, independence, random variables, continuous and discrete distribution, expectation, joint distributions, moment generating functions, law of large numbers and the central limit theorem. Degree credit not granted for this course and <a href=""/search/?p=ECEN%203810"" data-action=""result-detail"" data-group=""code:ECEN 3810"" >ECEN 3810</a> or <a href=""/search/?p=MATH%204510"" data-action=""result-detail"" data-group=""code:MATH 4510"" >MATH 4510</a>. Same as <a href=""/search/?p=STAT%203100"" data-action=""result-detail"" data-group=""code:STAT 3100"" >STAT 3100</a>.",3,,UGRD
APPM 4350,Methods in Applied Mathematics: Fourier Series and Boundary Value Problems,"Reviews ordinary differential equations, including solutions by Fourier series. Physical derivation of the classical linear partial differential equations (heat, wave, and Laplace equations). Solution of these equations via separation of variables, with Fourier series, Fourier integrals, and more general eigenfunction expansions.  Same as <a href=""/search/?p=APPM%205350"" data-action=""result-detail"" data-group=""code:APPM 5350"" >APPM 5350</a>.",3,,UGRD
APPM 4370,Computational Neuroscience,"Applies mathematical and computational methods to neuroscience. Techniques from linear algebra, differential equations, introductory dynamical systems, probability, stochastic processes, model validation, and machine learning will be learned and used. Neuroscience topics include neural spiking, network dynamics, probabilistic inference, learning, and plasticity. Will learn how the brain uses computational principles to enact decision making, vision, and memory. Recommended background includes linear algebra, differential equations, probability, and programming. Students will hone programming skills in MATLAB/Python and TensorFlow. Recommended prerequisite: <a href=""/search/?p=APPM%203570"" data-action=""result-detail"" data-group=""code:APPM 3570"" >APPM 3570</a>/<a href=""/search/?p=STAT%203100"" data-action=""result-detail"" data-group=""code:STAT 3100"" >STAT 3100</a>, <a href=""/search/?p=STAT%202600"" data-action=""result-detail"" data-group=""code:STAT 2600"" >STAT 2600</a> or <a href=""/search/?p=CSCI%203022"" data-action=""result-detail"" data-group=""code:CSCI 3022"" >CSCI 3022</a>. Same as <a href=""/search/?p=APPM%205370"" data-action=""result-detail"" data-group=""code:APPM 5370"" >APPM 5370</a>.",3,Z. Kilpatrick,UGRD
